Participant_ID,Learning_Rate,Intercept,Slope
10.0,0.10771782651776303,1.296368291844977,0.2972351645995688
11.0,0.4026248147377067,1.369213362136876,0.21134714297784954
12.0,0.11438405292410272,1.9496894094322188,0.18224466790849395
1.0,0.26448203603692666,1.6681342499164011,0.13409789303720265
2.0,0.5574542293122957,1.324081257007993,0.17575994346725515
3.0,0.4021015898128053,1.188728446343162,0.12285842120815743
4.0,0.43862939242697074,2.0100417771254047,0.17907971365001796
5.0,0.4875103694385792,1.1438748921676567,0.05887539060960362
6.0,0.49776951188909146,1.4266120902147186,0.23501289859968924
7.0,0.05448906372179005,1.5167567900054115,0.27379440373810543
8.0,0.19868402710327576,1.4450667698125825,0.27737470547098203
9.0,0.30280624035704123,1.3694987769423472,0.22974979524021133
