Participant_ID,Learning_Rate,Intercept,Slope
10,1.4364372904765574e-05,-14.65765375292591,65.27466029374045
11,0.3700957182475486,1.2112292581792548,0.2010924793711771
12,0.0009905765287060888,1.1482936775548926,2.268926889404153
1,0.00039656732074362514,2.3295965988322656,-1.8439741110615213
2,0.0011826681746299806,1.200418059929852,1.315376596023644
3,1.9453013108121767e-05,26.42217285299725,-99.6519306936682
4,0.0,1.6500816880241176,1.8616028826148185
5,0.18264327757256144,1.0250014430928844,0.1797122197061458
6,0.6210066152566679,1.5675454746681756,0.1078241554711434
7,0.0003361045169310313,1.0997348542125946,2.7300398313341163
8,9.846585695448358e-06,2.103273588263784,-1.765325469740836
9,1.1887906767846392e-05,12.72721151146096,-44.73308012083669
